,Warehouse_block,Mode_of_shipment,Customer_care_calls,Customer_rating,Cost_of_the_product_($),Prior_purchases,Prior_purchases_interval,Product_importance,Gender,Discount_offered_($),Discount_interval,Weight_in_gms,Weight_Category,Reached_on_Time_(0/1),Revenue_($)
5874,D,Road,4,2,202,3,2 - 4,Low,M,8,4 - 10,4575,Medium,1,194
5875,E,Road,4,3,176,2,0 - 2,Low,F,6,4 - 10,5149,Large,1,170
5876,A,Road,4,3,203,4,2 - 4,Low,F,1,0 - 4,5274,Large,0,202
5877,B,Road,4,3,207,4,2 - 4,Low,M,5,4 - 10,5008,Large,1,202
5878,C,Road,4,2,268,3,2 - 4,Medium,M,1,0 - 4,4927,Large,0,267
5879,E,Road,3,3,244,3,2 - 4,Low,M,6,4 - 10,5109,Large,0,238
5880,D,Road,3,5,134,3,2 - 4,Low,F,10,> 10,4693,Medium,0,124
5881,E,Road,3,4,143,3,2 - 4,Low,F,1,0 - 4,4392,Medium,1,142
5882,A,Road,3,5,246,3,2 - 4,Low,F,2,0 - 4,5556,Large,1,244
5883,B,Road,3,2,157,2,0 - 2,Low,F,7,4 - 10,5228,Large,0,150
5884,C,Road,3,3,169,3,2 - 4,Low,M,10,> 10,5147,Large,0,159
5885,E,Road,4,5,231,3,2 - 4,Low,F,6,4 - 10,4449,Medium,1,225
5886,D,Flight,3,3,262,5,2 - 4,Medium,F,1,0 - 4,5043,Large,0,261
5887,E,Flight,3,2,227,2,0 - 2,Medium,M,10,> 10,4290,Medium,0,217
5888,A,Flight,5,2,162,4,2 - 4,Medium,M,7,4 - 10,5477,Large,1,155
5889,B,Flight,5,5,148,2,0 - 2,Medium,M,4,0 - 4,4812,Large,0,144
5890,C,Flight,3,4,138,2,0 - 2,Medium,F,8,4 - 10,4837,Large,0,130
5891,E,Flight,3,3,255,2,0 - 2,Medium,F,3,0 - 4,4824,Large,0,252
5892,D,Flight,3,5,218,3,2 - 4,Low,M,2,0 - 4,5841,Large,0,216
5893,E,Flight,4,1,260,4,2 - 4,Low,M,2,0 - 4,4091,Medium,1,258
5894,A,Flight,4,3,142,2,0 - 2,Low,F,5,4 - 10,5502,Large,1,137
5895,B,Flight,4,5,257,3,2 - 4,Medium,M,5,4 - 10,4180,Medium,0,252
5896,C,Flight,4,2,252,3,2 - 4,Low,F,1,0 - 4,4176,Medium,0,251
5897,E,Flight,5,4,151,5,2 - 4,Low,F,1,0 - 4,4122,Medium,0,150
5898,D,Flight,4,3,190,5,2 - 4,Low,F,8,4 - 10,4736,Large,0,182
5899,E,Flight,4,5,137,2,0 - 2,Low,M,7,4 - 10,4068,Medium,0,130
5900,A,Flight,4,4,164,2,0 - 2,Low,M,7,4 - 10,5456,Large,0,157
5901,B,Flight,3,5,271,3,2 - 4,Low,F,9,4 - 10,5328,Large,0,262
5902,C,Flight,3,5,162,2,0 - 2,High,M,1,0 - 4,4573,Medium,1,161
5903,E,Flight,2,4,221,5,2 - 4,Medium,M,4,0 - 4,4034,Medium,1,217
5904,D,Flight,5,4,202,3,2 - 4,Low,F,3,0 - 4,4559,Medium,1,199
5905,E,Flight,4,5,143,2,0 - 2,Low,M,1,0 - 4,5836,Large,0,142
5906,A,Flight,3,5,254,3,2 - 4,Low,M,6,4 - 10,4703,Medium,0,248
5907,B,Flight,4,3,96,4,2 - 4,Medium,M,1,0 - 4,4984,Large,1,95
5908,C,Ship,3,3,199,5,2 - 4,Medium,F,10,> 10,4847,Large,1,189
5909,E,Ship,4,1,198,4,2 - 4,Low,F,5,4 - 10,5182,Large,0,193
5910,D,Ship,4,3,257,3,2 - 4,Low,F,2,0 - 4,5198,Large,1,255
5911,E,Ship,3,2,149,5,2 - 4,Medium,F,9,4 - 10,4310,Medium,0,140
5912,A,Ship,5,1,193,4,2 - 4,Medium,F,10,> 10,5280,Large,0,183
5913,B,Ship,3,5,284,2,0 - 2,Low,M,10,> 10,5619,Large,0,274
5914,C,Ship,4,5,205,4,2 - 4,Medium,F,5,4 - 10,5264,Large,0,200
5915,E,Ship,5,5,185,3,2 - 4,Low,M,5,4 - 10,4520,Medium,1,180
5916,D,Ship,5,4,268,3,2 - 4,High,F,10,> 10,4955,Large,0,258
5917,E,Ship,5,1,252,3,2 - 4,Medium,M,2,0 - 4,4339,Medium,0,250
5918,A,Ship,4,3,196,2,0 - 2,Low,F,5,4 - 10,5656,Large,0,191
5919,B,Ship,3,3,149,3,2 - 4,Low,M,6,4 - 10,4654,Medium,0,143
5920,C,Ship,5,5,154,2,0 - 2,Medium,M,3,0 - 4,4669,Medium,0,151
5921,E,Ship,5,4,267,2,0 - 2,Medium,M,4,0 - 4,4053,Medium,0,263
5922,D,Ship,3,3,208,2,0 - 2,Medium,F,5,4 - 10,5661,Large,0,203
5923,E,Ship,5,5,275,3,2 - 4,Medium,M,9,4 - 10,4287,Medium,1,266
5924,A,Ship,4,2,272,2,0 - 2,Low,F,1,0 - 4,5939,Large,1,271
5925,B,Ship,6,5,280,3,2 - 4,Low,M,9,4 - 10,4074,Medium,1,271
5926,C,Ship,6,3,202,3,2 - 4,Low,F,5,4 - 10,4930,Large,0,197
5927,E,Ship,5,2,184,3,2 - 4,Medium,F,8,4 - 10,4581,Medium,0,176
5928,D,Ship,5,2,244,5,2 - 4,Medium,F,7,4 - 10,5515,Large,0,237
5929,E,Ship,4,4,138,5,2 - 4,Low,M,10,> 10,5401,Large,0,128
5930,A,Ship,4,3,109,2,0 - 2,Medium,F,4,0 - 4,5407,Large,0,105
5931,B,Ship,2,5,189,5,2 - 4,Low,M,3,0 - 4,5292,Large,0,186
5932,C,Ship,3,2,170,3,2 - 4,Low,M,9,4 - 10,4069,Medium,0,161
5933,E,Ship,3,1,183,2,0 - 2,Medium,F,10,> 10,4598,Medium,0,173
5934,D,Ship,3,4,263,6,2 - 4,High,M,3,0 - 4,4429,Medium,0,260
5935,E,Ship,4,1,271,4,2 - 4,Low,M,9,4 - 10,5853,Large,1,262
5936,A,Ship,6,3,202,4,2 - 4,Medium,F,3,0 - 4,4496,Medium,1,199
5937,B,Ship,3,3,265,3,2 - 4,Medium,F,8,4 - 10,5070,Large,0,257
5938,C,Ship,4,1,220,3,2 - 4,Medium,F,6,4 - 10,4472,Medium,0,214
5939,E,Ship,4,4,274,2,0 - 2,Low,F,7,4 - 10,4873,Large,1,267
5940,D,Ship,4,5,212,2,0 - 2,Medium,M,10,> 10,4552,Medium,0,202
5941,E,Ship,4,2,244,3,2 - 4,High,M,1,0 - 4,5559,Large,1,243
5942,A,Ship,4,5,252,3,2 - 4,Medium,F,4,0 - 4,5017,Large,0,248
5943,B,Ship,5,5,158,2,0 - 2,Low,M,8,4 - 10,4743,Large,0,150
5944,C,Ship,2,5,286,6,2 - 4,Medium,F,5,4 - 10,5490,Large,0,281
5945,E,Ship,3,5,164,3,2 - 4,High,M,10,> 10,4639,Medium,1,154
5946,D,Ship,4,3,170,6,2 - 4,Medium,M,6,4 - 10,4998,Large,0,164
5947,E,Ship,4,1,269,2,0 - 2,Medium,F,8,4 - 10,4930,Large,0,261
5948,A,Ship,4,2,238,2,0 - 2,Low,F,2,0 - 4,4002,Medium,0,236
5949,B,Ship,4,3,198,7,2 - 4,Medium,F,1,0 - 4,5315,Large,0,197
5950,C,Ship,4,4,184,8,2 - 4,Low,M,7,4 - 10,5235,Large,1,177
5951,E,Ship,5,2,265,3,2 - 4,Low,M,10,> 10,4347,Medium,1,255
5952,D,Ship,3,2,204,10,> 4,Medium,F,10,> 10,4534,Medium,0,194
5953,E,Ship,5,1,233,7,2 - 4,Medium,F,5,4 - 10,5759,Large,1,228
5954,A,Ship,4,5,134,3,2 - 4,Low,F,8,4 - 10,5694,Large,0,126
5955,B,Ship,3,4,153,3,2 - 4,Medium,F,9,4 - 10,5474,Large,0,144
5956,C,Ship,2,5,241,3,2 - 4,Medium,F,3,0 - 4,4253,Medium,1,238
5957,E,Ship,4,5,187,3,2 - 4,Low,M,7,4 - 10,5022,Large,1,180
5958,D,Ship,3,3,148,3,2 - 4,Low,F,8,4 - 10,5622,Large,0,140
5959,E,Ship,3,4,133,8,2 - 4,Medium,F,10,> 10,5439,Large,1,123
5960,A,Ship,6,1,250,4,2 - 4,Low,M,10,> 10,1623,Small,1,240
5961,B,Ship,6,1,249,4,2 - 4,Medium,M,2,0 - 4,1326,Small,1,247
5962,C,Ship,5,2,259,5,2 - 4,Low,M,8,4 - 10,1678,Small,0,251
5963,E,Ship,6,4,266,4,2 - 4,Low,M,5,4 - 10,1639,Small,1,261
5964,D,Ship,6,5,244,4,2 - 4,Medium,F,6,4 - 10,1185,Small,0,238
5965,E,Ship,4,5,239,6,2 - 4,Low,M,2,0 - 4,1879,Small,0,237
5966,A,Ship,4,5,270,5,2 - 4,Low,F,1,0 - 4,1187,Small,1,269
5967,B,Ship,6,3,270,4,2 - 4,Low,F,7,4 - 10,1079,Small,0,263
5968,C,Ship,6,2,257,4,2 - 4,Medium,M,1,0 - 4,1513,Small,0,256
5969,E,Ship,4,3,243,5,2 - 4,Medium,F,3,0 - 4,1634,Small,1,240
5970,D,Ship,4,5,271,4,2 - 4,Low,M,6,4 - 10,5078,Large,0,265
5971,E,Ship,6,3,202,4,2 - 4,Medium,F,6,4 - 10,4249,Medium,0,196
5972,A,Ship,3,3,265,3,2 - 4,Medium,F,3,0 - 4,5986,Large,1,262
5973,B,Ship,4,1,220,3,2 - 4,Medium,M,1,0 - 4,5159,Large,1,219
5974,C,Ship,4,3,274,2,0 - 2,Low,M,1,0 - 4,4762,Large,0,273
5975,E,Ship,4,1,212,2,0 - 2,Medium,M,4,0 - 4,4969,Large,0,208
5976,D,Ship,4,2,244,3,2 - 4,High,F,3,0 - 4,4103,Medium,0,241
5977,E,Ship,4,2,252,3,2 - 4,Medium,F,4,0 - 4,5782,Large,0,248
5978,A,Ship,5,1,158,2,0 - 2,Low,M,4,0 - 4,5736,Large,1,154
5979,B,Ship,2,5,286,6,2 - 4,Medium,F,3,0 - 4,4497,Medium,1,283
5980,C,Ship,3,3,164,3,2 - 4,High,M,8,4 - 10,5170,Large,0,156
5981,E,Ship,4,2,170,6,2 - 4,Medium,M,10,> 10,4891,Large,0,160
5982,D,Ship,4,3,269,2,0 - 2,Medium,M,2,0 - 4,4158,Medium,0,267
5983,E,Ship,4,3,238,2,0 - 2,Low,M,7,4 - 10,5808,Large,1,231
5984,A,Ship,4,5,198,7,2 - 4,Medium,M,9,4 - 10,4249,Medium,1,189
5985,B,Ship,4,3,184,8,2 - 4,Low,M,4,0 - 4,4686,Medium,0,180
5986,C,Ship,5,2,265,3,2 - 4,Low,M,8,4 - 10,5447,Large,1,257
5987,E,Ship,3,1,204,10,> 4,Medium,M,5,4 - 10,5375,Large,0,199
5988,D,Ship,5,2,233,7,2 - 4,Medium,F,8,4 - 10,5519,Large,1,225
5989,E,Ship,4,2,134,3,2 - 4,Low,F,9,4 - 10,4214,Medium,1,125
5990,A,Ship,3,2,153,3,2 - 4,Medium,M,6,4 - 10,4056,Medium,0,147
5991,B,Ship,2,1,241,3,2 - 4,Medium,F,5,4 - 10,5697,Large,1,236
5992,C,Ship,4,4,187,3,2 - 4,Low,F,8,4 - 10,4893,Large,0,179
5993,E,Ship,3,4,148,3,2 - 4,Low,F,8,4 - 10,5267,Large,1,140
5994,D,Ship,3,5,133,8,2 - 4,Medium,F,8,4 - 10,5002,Large,1,125
5995,E,Ship,6,1,250,4,2 - 4,Low,M,4,0 - 4,1018,Small,0,246
5996,A,Ship,6,5,249,4,2 - 4,Medium,M,3,0 - 4,1710,Small,1,246
5997,B,Ship,5,3,259,5,2 - 4,Low,M,2,0 - 4,1730,Small,0,257
5998,C,Ship,6,2,266,4,2 - 4,Low,F,9,4 - 10,1220,Small,0,257
5999,E,Ship,6,3,244,4,2 - 4,Medium,M,5,4 - 10,1108,Small,1,239
6000,D,Ship,4,5,239,6,2 - 4,Low,M,4,0 - 4,1451,Small,0,235
6001,E,Road,4,3,270,5,2 - 4,Low,F,3,0 - 4,1786,Small,1,267
6002,A,Road,6,4,282,4,2 - 4,Low,M,6,4 - 10,1580,Small,0,276
6003,B,Road,6,5,295,4,2 - 4,Medium,M,2,0 - 4,1981,Small,0,293
6004,C,Road,6,1,255,4,2 - 4,Low,M,5,4 - 10,1253,Small,1,250
6005,E,Road,6,4,292,4,2 - 4,Low,M,3,0 - 4,1826,Small,1,289
6006,D,Road,6,3,244,4,2 - 4,Low,F,1,0 - 4,1317,Small,1,243
6007,E,Road,6,1,306,4,2 - 4,Low,M,1,0 - 4,1210,Small,0,305
6008,A,Road,6,1,258,4,2 - 4,Low,M,3,0 - 4,1506,Small,0,255
6009,B,Road,4,2,265,6,2 - 4,Low,M,8,4 - 10,1391,Small,1,257
6010,C,Road,5,1,227,5,2 - 4,Low,M,7,4 - 10,1620,Small,1,220
6011,E,Road,7,1,276,4,2 - 4,Low,F,8,4 - 10,1560,Small,1,268
6012,D,Road,6,4,244,4,2 - 4,Medium,M,7,4 - 10,1795,Small,0,237
6013,E,Road,4,3,217,6,2 - 4,Medium,F,6,4 - 10,1552,Small,0,211
6014,A,Road,2,3,211,3,2 - 4,Low,F,8,4 - 10,1172,Small,0,203
6015,B,Road,4,2,227,5,2 - 4,Low,M,7,4 - 10,1354,Small,1,220
6016,C,Road,5,3,249,4,2 - 4,Medium,M,1,0 - 4,1014,Small,1,248
6017,E,Road,6,3,269,4,2 - 4,Low,M,3,0 - 4,1006,Small,0,266
6018,D,Road,6,5,278,4,2 - 4,Medium,F,6,4 - 10,1140,Small,0,272
6019,E,Road,6,5,282,4,2 - 4,Medium,M,3,0 - 4,1385,Small,0,279
6020,A,Road,6,4,300,4,2 - 4,Medium,F,7,4 - 10,1607,Small,0,293
6021,B,Road,5,5,259,5,2 - 4,Low,F,9,4 - 10,1624,Small,0,250
6022,C,Road,6,1,295,4,2 - 4,Medium,F,6,4 - 10,1611,Small,0,289
6023,E,Flight,5,5,238,5,2 - 4,Low,M,2,0 - 4,1657,Small,0,236
6024,D,Flight,5,3,270,5,2 - 4,Medium,F,7,4 - 10,1303,Small,1,263
6025,E,Flight,5,3,267,5,2 - 4,Low,M,6,4 - 10,1119,Small,1,261
6026,A,Flight,4,1,270,5,2 - 4,Medium,M,9,4 - 10,1280,Small,1,261
6027,B,Flight,4,1,245,5,2 - 4,Medium,F,8,4 - 10,1923,Small,0,237
6028,C,Flight,6,4,262,4,2 - 4,Low,F,10,> 10,1068,Small,1,252
6029,E,Flight,4,2,245,5,2 - 4,Low,M,8,4 - 10,1122,Small,1,237
6030,D,Flight,6,2,268,4,2 - 4,Low,M,7,4 - 10,1943,Small,0,261
6031,E,Flight,5,1,262,5,2 - 4,Low,M,1,0 - 4,1488,Small,1,261
6032,A,Flight,6,3,283,5,2 - 4,Medium,M,10,> 10,1483,Small,0,273
6033,B,Flight,5,3,260,5,2 - 4,Medium,M,8,4 - 10,1001,Small,0,252
6034,C,Flight,7,5,258,4,2 - 4,Low,F,4,0 - 4,1677,Small,1,254
6035,E,Flight,5,2,130,4,2 - 4,Medium,F,1,0 - 4,1877,Small,0,129
6036,D,Flight,6,3,262,5,2 - 4,Low,M,9,4 - 10,1053,Small,0,253
6037,E,Flight,6,2,293,4,2 - 4,Low,F,4,0 - 4,1764,Small,1,289
6038,A,Flight,7,1,255,5,2 - 4,Medium,M,10,> 10,1238,Small,1,245
6039,B,Flight,6,1,242,5,2 - 4,Low,F,5,4 - 10,1555,Small,0,237
6040,C,Flight,6,3,264,4,2 - 4,Medium,F,6,4 - 10,1622,Small,1,258
6041,E,Flight,6,4,253,4,2 - 4,Low,F,7,4 - 10,1485,Small,0,246
6042,D,Flight,5,5,271,5,2 - 4,Low,F,4,0 - 4,1667,Small,0,267
6043,E,Flight,6,2,250,4,2 - 4,Medium,F,3,0 - 4,1777,Small,1,247
6044,A,Flight,4,3,266,5,2 - 4,High,F,5,4 - 10,1590,Small,0,261
6045,B,Ship,6,2,286,4,2 - 4,Low,F,4,0 - 4,1594,Small,0,282
6046,C,Ship,5,2,275,5,2 - 4,Low,M,9,4 - 10,1373,Small,0,266
6047,E,Ship,6,3,295,5,2 - 4,Low,M,4,0 - 4,1392,Small,0,291
6048,D,Ship,5,1,269,6,2 - 4,Medium,F,8,4 - 10,1341,Small,0,261
6049,E,Ship,4,1,239,5,2 - 4,Low,F,1,0 - 4,1780,Small,1,238
6050,A,Ship,6,4,271,4,2 - 4,Medium,M,8,4 - 10,1867,Small,0,263
6051,B,Ship,6,5,165,6,2 - 4,Low,F,6,4 - 10,1529,Small,1,159
6052,C,Ship,7,2,302,5,2 - 4,Medium,M,5,4 - 10,1614,Small,0,297
6053,E,Ship,6,2,293,6,2 - 4,Low,F,10,> 10,1919,Small,1,283
6054,D,Ship,4,4,202,3,2 - 4,Low,F,3,0 - 4,5524,Large,1,199
6055,E,Ship,2,3,185,3,2 - 4,Medium,F,7,4 - 10,4246,Medium,0,178
6056,A,Ship,4,4,210,2,0 - 2,Medium,M,8,4 - 10,5942,Large,0,202
6057,B,Ship,3,5,186,2,0 - 2,Medium,M,8,4 - 10,5924,Large,0,178
6058,C,Ship,3,4,163,3,2 - 4,Low,M,7,4 - 10,5913,Large,0,156
6059,E,Ship,3,4,168,3,2 - 4,Low,M,5,4 - 10,5964,Large,0,163
6060,D,Ship,4,3,199,3,2 - 4,Low,M,8,4 - 10,4391,Medium,1,191
6061,E,Ship,3,5,271,2,0 - 2,Medium,M,7,4 - 10,4958,Large,0,264
6062,A,Ship,3,4,164,3,2 - 4,Low,F,4,0 - 4,4796,Large,0,160
6063,B,Ship,4,1,231,2,0 - 2,Medium,M,3,0 - 4,4696,Medium,0,228
6064,C,Ship,3,1,196,2,0 - 2,Low,M,10,> 10,4141,Medium,1,186
6065,E,Ship,4,2,218,3,2 - 4,Low,F,2,0 - 4,4949,Large,0,216
6066,D,Ship,5,1,267,4,2 - 4,Low,M,5,4 - 10,4440,Medium,1,262
6067,E,Ship,4,4,163,3,2 - 4,Low,F,5,4 - 10,4440,Medium,0,158
6068,A,Ship,4,1,224,4,2 - 4,Medium,F,5,4 - 10,4887,Large,0,219
6069,B,Ship,3,4,156,2,0 - 2,Medium,F,10,> 10,5107,Large,1,146
6070,C,Ship,5,5,175,6,2 - 4,Low,F,2,0 - 4,4883,Large,1,173
6071,E,Ship,3,4,257,5,2 - 4,Medium,F,5,4 - 10,5365,Large,0,252
6072,D,Ship,4,4,259,3,2 - 4,Low,M,3,0 - 4,4509,Medium,0,256
6073,E,Ship,3,3,112,4,2 - 4,Low,F,7,4 - 10,5716,Large,1,105
6074,A,Ship,4,3,145,4,2 - 4,Medium,M,2,0 - 4,5735,Large,0,143
6075,B,Ship,3,1,230,3,2 - 4,Medium,M,3,0 - 4,4957,Large,0,227
6076,C,Ship,3,4,188,4,2 - 4,Low,F,6,4 - 10,5016,Large,0,182
6077,E,Ship,3,2,132,4,2 - 4,Medium,F,3,0 - 4,4512,Medium,0,129
6078,D,Ship,4,1,239,4,2 - 4,High,M,2,0 - 4,5502,Large,0,237
6079,E,Ship,2,5,167,3,2 - 4,Medium,M,8,4 - 10,4605,Medium,0,159
6080,A,Ship,3,1,133,3,2 - 4,Medium,M,7,4 - 10,4004,Medium,1,126
6081,B,Ship,4,2,270,2,0 - 2,High,F,9,4 - 10,5080,Large,1,261
6082,C,Ship,4,3,229,2,0 - 2,Medium,M,7,4 - 10,5364,Large,1,222
6083,E,Ship,5,1,261,4,2 - 4,High,F,6,4 - 10,4852,Large,0,255
6084,D,Ship,2,1,192,3,2 - 4,Low,F,9,4 - 10,4774,Large,0,183
6085,E,Ship,4,5,217,3,2 - 4,Low,F,6,4 - 10,4848,Large,1,211
6086,A,Ship,4,3,246,2,0 - 2,Low,M,6,4 - 10,4908,Large,0,240
6087,B,Ship,5,5,208,2,0 - 2,Medium,M,8,4 - 10,5321,Large,0,200
6088,C,Ship,5,1,148,3,2 - 4,Low,F,5,4 - 10,5790,Large,0,143
6089,E,Ship,4,1,132,6,2 - 4,High,M,8,4 - 10,4902,Large,1,124
6090,D,Ship,4,2,249,3,2 - 4,Low,F,6,4 - 10,5051,Large,1,243
6091,E,Ship,3,3,225,4,2 - 4,Low,F,9,4 - 10,5468,Large,1,216
6092,A,Ship,5,1,279,4,2 - 4,Medium,F,3,0 - 4,4607,Medium,0,276
6093,B,Ship,4,2,183,2,0 - 2,Low,F,8,4 - 10,4921,Large,0,175
6094,C,Ship,4,4,215,2,0 - 2,High,F,6,4 - 10,5238,Large,0,209
6095,E,Ship,6,4,195,5,2 - 4,High,F,10,> 10,4225,Medium,0,185
6096,D,Ship,4,2,156,2,0 - 2,Medium,M,5,4 - 10,4467,Medium,1,151
6097,E,Ship,3,5,160,3,2 - 4,Low,F,8,4 - 10,4106,Medium,0,152
6098,A,Ship,5,5,153,5,2 - 4,Medium,M,10,> 10,5297,Large,0,143
6099,B,Ship,3,4,215,3,2 - 4,High,F,5,4 - 10,4670,Medium,1,210
6100,C,Ship,4,3,163,3,2 - 4,Low,F,7,4 - 10,4556,Medium,0,156
6101,E,Ship,4,2,195,3,2 - 4,Medium,M,8,4 - 10,5198,Large,0,187
6102,D,Ship,4,3,170,2,0 - 2,Low,M,3,0 - 4,4587,Medium,1,167
6103,E,Ship,3,3,133,3,2 - 4,Low,M,5,4 - 10,5937,Large,0,128
6104,A,Ship,5,2,171,6,2 - 4,Medium,F,5,4 - 10,5981,Large,1,166
6105,B,Ship,3,5,186,3,2 - 4,Medium,M,7,4 - 10,4764,Large,0,179
6106,C,Ship,4,2,246,3,2 - 4,High,M,5,4 - 10,5960,Large,0,241
6107,E,Ship,3,3,170,3,2 - 4,Low,F,7,4 - 10,5427,Large,1,163
6108,D,Ship,2,5,189,2,0 - 2,Low,M,9,4 - 10,5245,Large,0,180
6109,E,Ship,4,5,216,2,0 - 2,Low,F,8,4 - 10,5767,Large,1,208
6110,A,Ship,4,2,264,3,2 - 4,Low,M,10,> 10,5137,Large,1,254
6111,B,Ship,5,4,268,3,2 - 4,Low,F,3,0 - 4,5320,Large,1,265
6112,C,Ship,4,1,225,2,0 - 2,Medium,F,10,> 10,4577,Medium,1,215
6113,E,Ship,4,2,252,2,0 - 2,High,F,4,0 - 4,5233,Large,1,248
6114,D,Ship,3,2,204,3,2 - 4,Low,F,8,4 - 10,4586,Medium,1,196
6115,E,Ship,5,1,193,2,0 - 2,Medium,F,1,0 - 4,4450,Medium,0,192
6116,A,Ship,5,3,220,3,2 - 4,Low,F,9,4 - 10,5324,Large,0,211
6117,B,Ship,6,4,271,3,2 - 4,Low,F,7,4 - 10,5192,Large,1,264
6118,C,Ship,2,2,227,4,2 - 4,Medium,M,6,4 - 10,4104,Medium,1,221
6119,E,Ship,4,1,206,5,2 - 4,Medium,F,7,4 - 10,5941,Large,1,199
6120,D,Ship,4,2,142,3,2 - 4,Medium,F,3,0 - 4,4644,Medium,0,139
6121,E,Ship,5,5,236,2,0 - 2,Medium,M,2,0 - 4,5210,Large,0,234
6122,A,Ship,5,4,275,2,0 - 2,Medium,M,10,> 10,5395,Large,1,265
6123,B,Ship,3,5,144,2,0 - 2,Medium,M,2,0 - 4,4629,Medium,1,142
6124,C,Ship,4,5,194,3,2 - 4,Medium,M,3,0 - 4,5168,Large,1,191
6125,E,Ship,3,2,260,3,2 - 4,Low,M,9,4 - 10,4591,Medium,1,251
6126,D,Ship,3,4,240,3,2 - 4,Medium,M,8,4 - 10,4410,Medium,0,232
6127,E,Ship,3,2,136,3,2 - 4,High,F,2,0 - 4,5739,Large,0,134
6128,A,Ship,3,3,132,2,0 - 2,Medium,M,1,0 - 4,4687,Medium,0,131
6129,B,Ship,4,2,266,3,2 - 4,Medium,M,7,4 - 10,5121,Large,0,259
6130,C,Ship,4,1,263,3,2 - 4,High,M,5,4 - 10,4782,Large,0,258
6131,E,Ship,5,5,270,3,2 - 4,Low,F,9,4 - 10,5807,Large,1,261
6132,D,Ship,3,3,208,5,2 - 4,Low,F,10,> 10,4258,Medium,0,198
6133,E,Ship,5,5,206,3,2 - 4,Low,M,1,0 - 4,5520,Large,0,205
6134,A,Ship,3,3,159,3,2 - 4,Low,M,3,0 - 4,5230,Large,1,156
6135,B,Ship,4,3,162,3,2 - 4,Low,M,4,0 - 4,5913,Large,1,158
6136,C,Ship,3,2,177,2,0 - 2,Medium,M,4,0 - 4,4417,Medium,0,173
6137,E,Ship,3,3,168,4,2 - 4,Low,F,4,0 - 4,4096,Medium,1,164
6138,D,Road,3,1,267,4,2 - 4,Medium,F,4,0 - 4,4914,Large,1,263
6139,E,Road,4,5,222,3,2 - 4,Medium,F,7,4 - 10,5844,Large,0,215
6140,A,Road,3,2,234,3,2 - 4,Low,F,10,> 10,4781,Large,0,224
6141,B,Road,3,1,133,3,2 - 4,Low,F,9,4 - 10,5724,Large,0,124
6142,C,Road,4,4,207,3,2 - 4,Low,F,10,> 10,4533,Medium,0,197
6143,E,Road,4,3,243,4,2 - 4,Low,F,9,4 - 10,4811,Large,0,234
6144,D,Road,5,5,161,3,2 - 4,Low,F,1,0 - 4,4470,Medium,1,160
6145,E,Road,3,5,193,3,2 - 4,Medium,F,6,4 - 10,5302,Large,0,187
6146,A,Road,4,5,234,4,2 - 4,Medium,M,9,4 - 10,5769,Large,0,225
6147,B,Road,2,1,185,6,2 - 4,Medium,F,7,4 - 10,4138,Medium,1,178
6148,C,Road,4,5,242,2,0 - 2,Medium,F,5,4 - 10,4806,Large,0,237
6149,E,Road,4,5,252,2,0 - 2,High,F,6,4 - 10,4147,Medium,1,246
6150,D,Road,4,3,179,3,2 - 4,Low,F,3,0 - 4,5495,Large,1,176
6151,E,Road,4,3,158,3,2 - 4,High,F,5,4 - 10,5602,Large,0,153
6152,A,Road,3,1,226,3,2 - 4,Low,F,8,4 - 10,4002,Medium,0,218
6153,B,Road,5,4,269,2,0 - 2,Medium,F,2,0 - 4,5962,Large,0,267
6154,C,Road,3,5,148,3,2 - 4,Low,F,7,4 - 10,5685,Large,0,141
6155,E,Road,4,5,159,2,0 - 2,Low,F,3,0 - 4,5704,Large,0,156
6156,D,Road,3,4,273,4,2 - 4,Medium,M,4,0 - 4,5361,Large,0,269
6157,E,Road,3,4,233,3,2 - 4,Medium,M,5,4 - 10,5306,Large,0,228
6158,A,Road,4,5,182,3,2 - 4,Medium,F,2,0 - 4,4473,Medium,0,180
6159,B,Road,3,4,153,2,0 - 2,Medium,M,5,4 - 10,4023,Medium,1,148
6160,C,Flight,4,5,210,2,0 - 2,Medium,M,5,4 - 10,5683,Large,0,205
6161,E,Flight,4,1,241,3,2 - 4,Medium,M,6,4 - 10,4558,Medium,0,235
6162,D,Flight,3,2,220,3,2 - 4,Low,M,8,4 - 10,5032,Large,1,212
6163,E,Flight,5,4,211,3,2 - 4,Medium,F,7,4 - 10,4856,Large,0,204
6164,A,Flight,3,5,151,3,2 - 4,Low,F,1,0 - 4,4088,Medium,0,150
6165,B,Flight,5,5,267,3,2 - 4,Medium,M,9,4 - 10,4775,Large,1,258
6166,C,Flight,4,3,250,2,0 - 2,Medium,M,4,0 - 4,4808,Large,1,246
6167,E,Flight,4,3,181,3,2 - 4,Low,F,5,4 - 10,5398,Large,1,176
6168,D,Flight,5,2,197,4,2 - 4,High,M,4,0 - 4,4339,Medium,1,193
6169,E,Flight,3,4,172,2,0 - 2,Medium,F,5,4 - 10,4647,Medium,0,167
6170,A,Flight,4,1,219,3,2 - 4,Low,M,3,0 - 4,5223,Large,1,216
6171,B,Flight,5,5,189,3,2 - 4,Low,M,7,4 - 10,5717,Large,0,182
6172,C,Flight,5,1,225,3,2 - 4,Low,M,8,4 - 10,4539,Medium,0,217
6173,E,Flight,5,3,269,5,2 - 4,Low,F,8,4 - 10,5833,Large,1,261
